alim17_1,alim17_2,alim17_3,alim17_4,alim17_5,alim17_6,alim17_7,alim17_8,alim17_9,alim17_10,alim17_11,num_auto,num_moto,num_bici,num_radio,num_tvd,num_licua,num_micro,num_refri,num_estuf,num_lavad,num_planc,num_venti,num_compu,num_impre,num_juego,ing_tri
3,4,2,2,1,0,1,7,7,7,7,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,10622.94
7,4,5,7,5,7,3,3,7,7,7,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,15250.81
5,4,7,4,7,2,2,1,7,7,4,0,0,0,1,2,1,1,1,1,1,1,1,3,1,0,59704.87
7,2,7,7,4,4,2,4,7,7,3,1,0,0,0,3,1,1,1,1,1,1,0,2,0,0,86016.32
7,2,7,7,1,0,0,7,7,7,7,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,22246.7
7,2,1,7,1,7,2,7,7,7,7,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,24668.83
7,1,7,1,0,7,0,7,7,7,7,0,2,0,1,0,1,0,1,1,1,1,0,0,0,0,60383.57
7,3,7,7,1,7,1,7,7,7,7,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,65163.9
7,7,7,7,2,7,0,7,7,7,7,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,4327.86
7,2,7,7,1,7,1,7,2,7,7,0,0,2,1,0,1,0,1,1,0,1,0,0,0,0,37780.29
7,7,7,7,2,7,0,7,7,7,7,0,0,2,1,1,1,1,1,1,1,1,0,1,0,0,71576.01
7,3,7,7,7,7,1,7,7,7,7,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,46721.28
